cro,avg_count,a,b,fit
15,2043.7890440229914,0.021201062884140823,0.14116848845355578,yes
16,2100.2145794851417,70.93385530561812,1.3628540068853194e-05,yes
17,2180.915798458556,0.04520651602198078,0.2778141510932875,yes
18,2297.3475875712297,Optimal parameters not found: Number of calls to function has reached maxfev = 600.,nil,no
19,2400.231624565714,0.07025892164483882,0.0815617946410645,yes
20,2492.308069783704,0.13694661264198776,0.03999162635295142,yes
21,2597.169224984267,0.10314389762440121,0.060990155275156124,yes
22,2707.433087142389,0.0721055143230376,0.10867731536534973,yes
23,2808.0493645451425,0.08422456342199394,0.08999981884202289,yes
24,2907.3573315850786,0.10078754978719527,0.07151956403709611,yes
25,3005.7454150091003,0.10161834734874023,0.06560510359148619,yes
26,3107.1693485508495,0.08015179541585617,0.0980316463183732,yes
27,3202.9701917564566,0.09611307673468492,0.07784813070036951,yes
28,3302.9409866208653,0.1031532994422143,0.07661563054144449,yes
29,3402.948971067549,0.12244095382829195,0.056241080635726984,yes
30,3502.1852354988655,0.10445349802739792,0.07928989461514377,yes
31,3604.5564689650023,0.12639474439288192,0.06071024668597245,yes
32,3700.5665124986917,0.13816859683057778,0.050990223137878155,yes
33,3807.5573315850784,0.14388679813153893,0.053543050888766486,yes
34,3905.1957589047324,0.14445138118409992,0.056183706488470035,yes
35,4000.6614907318467,0.14256022579593053,0.05105122276249927,yes
36,4106.321561491674,0.137978239500752,0.05882442832774855,yes
37,4202.993902026583,0.14999770766107565,0.052846863709878726,yes
38,4304.441950512284,0.16403023762148,0.04707725344121492,yes
39,4407.4564689650015,0.15446630579595608,0.04798364060253625,yes
40,4503.121294095246,0.1686690583432387,0.04465022582616498,yes
41,4602.4941815127,0.16632885709215978,0.04499764823732558,yes
42,4704.69972941008,0.146626380003517,0.05263421230237796,yes
43,4804.022393059137,0.14906423642363067,0.05359487713756612,yes
44,4904.775575451049,0.14961857254516614,0.05767108176557876,yes
45,5004.021561491674,0.14630256281270917,0.05620144648603633,yes
46,5108.052242103319,0.1714555297088613,0.044262528902526146,yes
47,5207.428566665679,0.1571013775032976,0.053855835214314925,yes
48,5311.3244144661685,0.15618916834392607,0.05108050524302922,yes
49,5407.655205806918,0.15098038751358206,0.05487674745496941,yes
50,5507.016682674182,0.15351952209791953,0.05645694130072961,yes
51,5603.78765861194,0.1580102467188256,0.054132386888063995,yes
52,5697.056993047916,0.14545888521963732,0.056636097468912995,yes
53,5800.328171376432,0.13029155119303926,0.06687564183083049,yes
54,5909.834170384994,0.12516709462476974,0.07192911208766685,yes
55,6008.755652622767,0.13405014533637685,0.06735292210431777,yes
56,6103.922504450394,0.1388802292513756,0.06323751154179968,yes
57,6190.927420917336,0.1510727764050879,0.0560790809084446,yes
58,6298.096836883149,0.15464426965849445,0.0482018598541487,yes
59,6406.735388804057,0.15682326142789946,0.04804427377065136,yes
60,6507.411352180261,0.1701183019603324,0.04315402203054017,yes
61,6609.4763998398885,0.14443940809912462,0.05305997361029157,yes
62,6710.506500133239,0.14820576339548946,0.05004859687501397,yes
63,6807.815062073081,0.1502106733343231,0.053413769936960294,yes
64,6910.209222858262,0.18783997046394782,0.036580926194454425,yes
65,7005.612977591982,0.16267922572280694,0.045526161564416995,yes
66,7111.367254694682,0.14184866949639652,0.056682265854485214,yes
67,7212.065634129554,0.16909497026626996,0.044033928541822656,yes
