cro,avg_count,a,b,fit
10,1488.9582970653241,0.0292835546243387,0.9343198297126574,yes
11,1587.2586683965756,0.058533931015760945,0.8921581403792787,yes
13,1800.2568417247448,0.06584671503188971,0.14448800125403458,yes
14,1918.5568417247448,Optimal parameters not found: Number of calls to function has reached maxfev = 600.,nil,no
15,2017.455586790692,0.16106864751558148,0.053968894988027954,yes
16,2111.6173864871325,Optimal parameters not found: Number of calls to function has reached maxfev = 600.,nil,no
17,2205.166329984945,Optimal parameters not found: Number of calls to function has reached maxfev = 600.,nil,no
18,2298.575446204844,0.11831714215658187,0.07377279340344647,yes
19,2414.722870850599,0.16852129469101565,0.05032969735245132,yes
20,2504.0010690412473,0.11563977156594556,0.09525173819591981,yes
21,2608.535864947291,0.14754181540623826,0.03926792104427538,yes
22,2708.24389213401,0.21739045360288387,0.026426743762154266,yes
23,2808.296030648958,0.18193035555490888,0.04334856379862077,yes
24,2908.3263292590473,0.1291041554337862,0.07372045877318366,yes
25,3010.4879928305118,0.1526482128212286,0.0538679829624021,yes
26,3103.950934677955,0.1768503041893962,0.04185881031064665,yes
27,3205.283141124595,0.16336015320902322,0.04669854375421518,yes
28,3306.6645859325945,0.16554597408883723,0.04414454892336039,yes
29,3402.644271618834,0.13918144746301642,0.06265114578937478,yes
30,3501.4117842951555,0.14393619937351831,0.05899935097565575,yes
31,3599.8406614906175,0.13596718635694918,0.0643951497982087,yes
32,3704.7521893078165,0.1395440063293903,0.06133069161343251,yes
33,3809.908428155334,0.17621991200573625,0.04192510822509219,yes
34,3905.356118582574,0.15800990185890423,0.05281229899414406,yes
35,4005.3476750779837,0.1597422078874053,0.053333859928073074,yes
36,4103.6341889239175,0.1554120628171672,0.05491850533537484,yes
37,4203.89292604085,0.15764024120941145,0.054382670862857765,yes
38,4306.587006460145,0.146643327900225,0.06483284827534125,yes
39,4408.139133111204,0.14879623028619385,0.061453093749964674,yes
40,4505.473263796538,0.1544014093040698,0.05738364166848032,yes
41,4607.565273783262,0.14605482873905712,0.06259315717436555,yes
42,4706.354080684258,0.15225316366573458,0.05826425378265593,yes
43,4804.986533731452,0.14486774604454827,0.06148827337208035,yes
44,4904.802963150655,0.1490222532899506,0.05890734384429313,yes
45,5004.030378864587,0.14458134728331354,0.06240344316400009,yes
46,5104.966477386614,0.14962152905378748,0.05857909319367858,yes
47,5204.116502189004,0.14418518543774483,0.06471592090745285,yes
48,5302.532588358241,0.143782423111566,0.06237935774685981,yes
49,5401.35083749643,0.1553052984840469,0.05343040003839467,yes
50,5505.066680873999,0.1536113829060708,0.05266014359278726,yes
51,5602.168231807929,0.15608384548491053,0.05243966496964988,yes
52,5703.32895678762,0.15518093936933927,0.05414166474186146,yes
53,5805.033961115716,0.14237383106180168,0.06716345277919573,yes
54,5906.7910612635,0.1647148972640659,0.0537222062477442,yes
55,6005.932995320724,0.16624848889149862,0.0541542697512153,yes
56,6106.108347657298,0.16474499363337422,0.05672568494885395,yes
