cro,avg_count,a,b,fit
5,974.5545744163136,name 't' is not defined,nil,no
10,1500.784745051044,name 't' is not defined,nil,no
12,1707.4388499593756,name 't' is not defined,nil,no
15,2006.4441741220328,name 't' is not defined,nil,no
16,2097.394267130824,name 't' is not defined,nil,no
17,2200.6260294712188,name 't' is not defined,nil,no
18,2304.644174122033,name 't' is not defined,nil,no
19,2405.0462734482726,name 't' is not defined,nil,no
20,2505.766376930738,name 't' is not defined,nil,no
21,2589.7701146048457,name 't' is not defined,nil,no
22,2695.6105935961386,name 't' is not defined,nil,no
23,2800.3016687612876,name 't' is not defined,nil,no
24,2902.066242494714,name 't' is not defined,nil,no
25,2998.3271715098695,name 't' is not defined,nil,no
26,3099.540591233863,name 't' is not defined,nil,no
27,3202.1790684638163,name 't' is not defined,nil,no
28,3300.9111327560367,name 't' is not defined,nil,no
29,3400.36723263464,name 't' is not defined,nil,no
30,3501.6797175190623,name 't' is not defined,nil,no
31,3600.032211508844,name 't' is not defined,nil,no
32,3700.918581113627,name 't' is not defined,nil,no
33,3798.8107146968678,name 't' is not defined,nil,no
34,3903.9528214759607,name 't' is not defined,nil,no
35,3996.278569569522,name 't' is not defined,nil,no
36,4098.271531137096,name 't' is not defined,nil,no
37,4202.4825485989795,name 't' is not defined,nil,no
38,4301.9516687612895,name 't' is not defined,nil,no
39,4398.484288787587,name 't' is not defined,nil,no
40,4498.150237791269,name 't' is not defined,nil,no
41,4599.681858501307,name 't' is not defined,nil,no
42,4703.32635130945,name 't' is not defined,nil,no
43,4802.57717150987,name 't' is not defined,nil,no
44,4899.655255016658,name 't' is not defined,nil,no
45,5001.743771555771,name 't' is not defined,nil,no
46,5099.868217286211,name 't' is not defined,nil,no
47,5203.319794323398,name 't' is not defined,nil,no
48,5299.161303717665,name 't' is not defined,nil,no
49,5400.968217286211,name 't' is not defined,nil,no
50,5504.175574234534,name 't' is not defined,nil,no
51,5603.146613817035,name 't' is not defined,nil,no
52,5704.36031629644,name 't' is not defined,nil,no
53,5806.835727136051,name 't' is not defined,nil,no
54,5902.331663344752,name 't' is not defined,nil,no
55,6004.93974398745,name 't' is not defined,nil,no
56,6104.120328842946,name 't' is not defined,nil,no
57,6206.558784368703,name 't' is not defined,nil,no
58,6303.603443467061,name 't' is not defined,nil,no
59,6402.251719505637,name 't' is not defined,nil,no
60,6502.844660407395,name 't' is not defined,nil,no
61,6607.596082301531,name 't' is not defined,nil,no
62,6702.505255016658,name 't' is not defined,nil,no
63,6800.639219312995,name 't' is not defined,nil,no
64,6904.3121244128315,name 't' is not defined,nil,no
65,7003.686987539871,name 't' is not defined,nil,no
66,7104.196330915842,name 't' is not defined,nil,no
67,7203.171662393586,name 't' is not defined,nil,no
68,7303.5534376642345,name 't' is not defined,nil,no
69,7404.660526110656,name 't' is not defined,nil,no
70,7503.896613817036,name 't' is not defined,nil,no
71,7604.005108787435,name 't' is not defined,nil,no
72,7707.696613817036,name 't' is not defined,nil,no
73,7802.838250560123,name 't' is not defined,nil,no
74,7902.046731492323,name 't' is not defined,nil,no
75,8003.410645470952,name 't' is not defined,nil,no
76,8105.356412933403,name 't' is not defined,nil,no
77,8206.027326553274,name 't' is not defined,nil,no
78,8302.528855296836,name 't' is not defined,nil,no
79,8403.82849599432,name 't' is not defined,nil,no
80,8504.002627068756,name 't' is not defined,nil,no
81,8607.79413904365,name 't' is not defined,nil,no
82,8705.43589578744,name 't' is not defined,nil,no
83,8807.030426830364,name 't' is not defined,nil,no
84,8907.731024561152,name 't' is not defined,nil,no
85,9007.820594124114,name 't' is not defined,nil,no
86,9104.76152929523,name 't' is not defined,nil,no
87,9202.596887087808,name 't' is not defined,nil,no
88,9305.60077240098,name 't' is not defined,nil,no
89,9406.713833972473,name 't' is not defined,nil,no
90,9502.535520055455,name 't' is not defined,nil,no
91,9603.529071229546,name 't' is not defined,nil,no
92,9708.385926071656,name 't' is not defined,nil,no
93,9806.10968975812,name 't' is not defined,nil,no
94,9908.274567764953,name 't' is not defined,nil,no
95,10004.993840391253,name 't' is not defined,nil,no
96,10109.391724307368,name 't' is not defined,nil,no
97,10209.888089933927,name 't' is not defined,nil,no
98,10309.883461880165,name 't' is not defined,nil,no
99,10408.648784240551,name 't' is not defined,nil,no
100,10505.44623875158,name 't' is not defined,nil,no
101,10610.766621992425,name 't' is not defined,nil,no
102,10704.694660407398,name 't' is not defined,nil,no
103,10807.581903155506,name 't' is not defined,nil,no
104,10910.269314898123,name 't' is not defined,nil,no
105,11007.171019498,name 't' is not defined,nil,no
106,11111.191412981032,name 't' is not defined,nil,no
107,11207.684512096695,name 't' is not defined,nil,no
108,11303.719065781517,name 't' is not defined,nil,no
109,11407.337714047811,name 't' is not defined,nil,no
110,11511.844296941776,name 't' is not defined,nil,no
111,11608.899104476268,name 't' is not defined,nil,no
112,11708.915046827688,name 't' is not defined,nil,no
113,11807.890982103558,name 't' is not defined,nil,no
114,11911.692938708551,name 't' is not defined,nil,no
115,12003.457750041105,name 't' is not defined,nil,no
116,12109.509991418767,name 't' is not defined,nil,no
117,12213.49200163356,name 't' is not defined,nil,no
118,12311.979109646509,name 't' is not defined,nil,no
119,12410.956535797513,name 't' is not defined,nil,no
120,12510.588956849911,name 't' is not defined,nil,no
121,12610.34638885051,name 't' is not defined,nil,no
122,12709.87240356723,name 't' is not defined,nil,no
123,12815.506319681725,name 't' is not defined,nil,no
124,12914.53724700895,name 't' is not defined,nil,no
125,13006.744865605011,name 't' is not defined,nil,no
126,13111.371168894295,name 't' is not defined,nil,no
127,13207.415088521906,name 't' is not defined,nil,no
128,13307.120088360352,name 't' is not defined,nil,no
129,13408.507486846422,name 't' is not defined,nil,no
130,13513.126254551455,name 't' is not defined,nil,no
131,13606.76945889233,name 't' is not defined,nil,no
132,13709.976222313822,name 't' is not defined,nil,no
133,13814.320433878258,name 't' is not defined,nil,no
134,13909.4425421099,name 't' is not defined,nil,no
135,14013.598497397337,name 't' is not defined,nil,no
136,14112.148848857916,name 't' is not defined,nil,no
137,14210.050024483144,name 't' is not defined,nil,no
138,14313.794011266316,name 't' is not defined,nil,no
139,14414.010150481252,name 't' is not defined,nil,no
140,14510.551314188408,name 't' is not defined,nil,no
141,14613.920034642602,name 't' is not defined,nil,no
142,14715.084551392225,name 't' is not defined,nil,no
143,14814.188465817952,name 't' is not defined,nil,no
